,id,type,x,y,z,demand,priority,name,equivalence_class,stationary_distribution,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,eigenvector_centrality,hits_hub,hits_authority
26,26,client,137.94507187839824,34.85597674728397,54.71787589351873,2,2.0,大鳥居_3,1,2.3555478845055378e-05,74.0,100.0,0.90625,0.38541666666666663,0.5208333333333333,0.6193548387096774,0.0017431613305344791,0.0038990212269683602,0.040165688474706904,0.004317438158742456,0.0030091253493587065
27,27,client,137.92770049067283,34.87839261762617,174.77263740354834,2,1.0,葛布_1,1,1.7395506145129191e-06,16.0,85.0,0.5260416666666666,0.08333333333333333,0.4427083333333333,0.5217391304347826,0.000457400534676366,0.0013991563493773104,0.004020495527664969,0.003423864437694454,0.00047112598117821677
28,28,client,137.9222992517113,34.898388299219,451.0947501031643,2,3.0,西俣_1,1,4.40037166395818e-07,3.0,15.0,0.09375,0.015625,0.078125,0.3033175355450237,0.0,0.0010388767582818403,1.3362663420775106e-05,0.0005253170702892176,1.2525970859346343e-05
29,29,client,137.92685997908237,34.891680772754256,294.6695798450681,1,2.0,西俣_2,1,9.806786926897567e-07,7.0,58.0,0.33854166666666663,0.03645833333333333,0.3020833333333333,0.5092838196286472,4.990369874377178e-05,0.00107778811523077,0.0010273337031219186,0.0021987915855793,0.00015313254500164033
30,30,client,137.94120120023385,34.87079967173225,68.84508529038548,1,1.0,問詰（黒石）_1,1,2.3840383939432996e-05,29.0,58.0,0.453125,0.15104166666666666,0.3020833333333333,0.5408450704225352,0.0007758527770254064,0.002233973291883113,0.010372206854506122,0.0021927384628288946,0.001001373567364945
31,31,client,137.93882153322213,34.85757316889493,71.50606376233605,2,1.0,問詰（黒石）_2,1,1.9897294383442593e-05,76.0,103.0,0.9322916666666666,0.3958333333333333,0.5364583333333333,0.6233766233766234,0.0018426810093539734,0.0039596791052117315,0.041151078746784316,0.004467945623401959,0.003107876495178017
32,32,client,137.9522838509356,34.87218922806137,75.86197841621653,2,3.0,問詰（下問詰）_1,1,5.408387589250774e-06,24.0,83.0,0.5572916666666666,0.125,0.43229166666666663,0.5333333333333333,0.0007032787137957716,0.0017084512388110525,0.0077885855971187995,0.0033641813519129536,0.0007735114447155837
33,33,client,137.9593278625157,34.88265269062725,96.8067759714068,1,1.0,鍛冶島_1,1,1.7039106907593832e-06,15.0,74.0,0.46354166666666663,0.078125,0.38541666666666663,0.5203252032520326,0.010763862661170619,0.0014183046748402599,0.0032885982003489286,0.002883110429971014,0.00035255156379710307
34,34,client,137.94538497016225,34.85132228462618,69.89069095074596,2,2.0,城下（城下上）_1,1,2.1539542644509295e-05,97.0,113.0,1.09375,0.5052083333333333,0.5885416666666666,0.6689895470383276,0.00249351781495456,0.004861822626105317,0.056801620963639506,0.0050184573184949306,0.00415507747477584
35,35,client,137.93666319953647,34.85057707900391,104.99966727044183,1,1.0,城下（城下上）_2,1,2.899289017087043e-05,109.0,113.0,1.15625,0.5677083333333333,0.5885416666666666,0.6981818181818182,0.0007426672698054574,0.005319446925591956,0.06661104741740209,0.005109333460007517,0.004819413271966705
36,36,client,137.94733837414975,34.84804777248784,218.62019459833013,2,1.0,城下（城下上）_3,1,5.760951794017352e-06,54.0,121.0,0.9114583333333333,0.28125,0.6302083333333333,0.5818181818181818,0.0002924588210815072,0.002962425232161078,0.02895453441932798,0.005506818038449308,0.002209933932537335
37,37,client,137.9381618507887,34.84875715763712,49.6948256151443,1,2.0,城下（城下下）_1,1,3.1186401085675844e-05,109.0,116.0,1.171875,0.5677083333333333,0.6041666666666666,0.6981818181818182,0.000770015538208956,0.005320474330265614,0.06661104741740209,0.005258726789600592,0.004818225758889743
38,38,client,137.93850299792993,34.84765285073858,49.514438552763025,2,2.0,城下（城下下）_2,1,3.4627265674191596e-05,114.0,117.0,1.203125,0.59375,0.609375,0.7111111111111111,0.0008752279549494396,0.00548044909900194,0.06953660597106107,0.005307480715799537,0.005071512895006261
39,39,client,137.93559662292037,34.843276070630175,47.82656111469814,2,3.0,天宮（赤松）_1,1,4.817663985642526e-05,121.0,117.0,1.2395833333333333,0.6302083333333333,0.609375,0.7300380228136882,0.0007837359835323265,0.005677232003180068,0.07309281942285831,0.005346056322670765,0.005419368247927343
40,40,client,137.93404049906988,34.84293107101287,61.85992039945778,2,3.0,天宮（川向）_1,1,5.562981775662258e-05,122.0,117.0,1.2447916666666665,0.6354166666666666,0.609375,0.732824427480916,0.000808247437957482,0.005724556005280779,0.07386720149892408,0.00534571761048642,0.005466832933740505
41,41,client,137.93349660959095,34.84000166120748,44.96181338097965,1,5.0,天宮（本丁）_1,1,6.665675299171933e-05,139.0,119.0,1.34375,0.7239583333333333,0.6197916666666666,0.7836734693877551,0.0010218879981963639,0.006258700258240899,0.08277362614171306,0.005466895422611163,0.0062498827642016395
42,42,client,137.93107120456708,34.84074288192975,44.97728046261038,1,1.0,天宮（開運町）_1,1,7.39910570902386e-05,133.0,115.0,1.2916666666666665,0.6927083333333333,0.5989583333333333,0.7649402390438247,0.0007958929983153517,0.006093543410328779,0.08015053995478642,0.005288313754675697,0.005982547757620595
43,43,client,137.93053313041753,34.84077178935157,45.003058602965034,1,3.0,天宮（開運町）_2,1,7.391034890843161e-05,133.0,115.0,1.2916666666666665,0.6927083333333333,0.5989583333333333,0.7649402390438247,0.0007958929983153517,0.006093543410328779,0.08015053995478642,0.005288313754675697,0.005982547757620595
44,44,client,137.93076091343616,34.84143569599957,45.42093816223059,2,4.0,天宮（開運町）_3,1,6.945418737018538e-05,126.0,115.0,1.2552083333333333,0.65625,0.5989583333333333,0.7441860465116279,0.0006638261996300046,0.005854406734763553,0.07613836216772658,0.005290639056047922,0.005656696772169099
45,45,client,137.92883928840908,34.8426687844917,61.369276513910634,2,2.0,天宮（開運町）_4,1,5.5267723665580054e-05,121.0,112.0,1.2135416666666665,0.6302083333333333,0.5833333333333333,0.7300380228136882,0.0005491507544795967,0.005675404454830934,0.07309281942285831,0.005144103850453857,0.00542097354852768
46,46,client,137.93290878817078,34.84266118672836,51.00922329554909,1,1.0,天宮（川久保）_1,1,5.9908315936692616e-05,121.0,112.0,1.2135416666666665,0.6302083333333333,0.5833333333333333,0.7300380228136882,0.0005491507544795967,0.005675404454830934,0.07309281942285831,0.005144103850453857,0.005420973548527677
47,47,client,137.9322335599845,34.842009665127485,47.4668258424072,1,1.0,天宮（川久保）_2,1,6.79688398509612e-05,122.0,115.0,1.234375,0.6354166666666666,0.5989583333333333,0.732824427480916,0.0005943462513596788,0.005723837980104305,0.07386720149892408,0.005291990893546744,0.005467260002198791
48,48,client,137.92804028565595,34.84668531568243,56.09296874056499,1,5.0,天宮（川久保）_3,1,4.45276195718252e-05,117.0,111.0,1.1875,0.609375,0.578125,0.7191011235955056,0.0004939370256206485,0.005531599476066114,0.0704223905456705,0.0050938075985373955,0.005220210655489761
