,id,type,x,y,z,demand,priority,name,equivalence_class,stationary_distribution,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,eigenvector_centrality,hits_hub,hits_authority,circle_id
25,25,client,137.9428087101402,34.86000792331028,59.45855731453261,2,2.0,大鳥居_2,1,3.2789559283104286e-05,56.0,83.0,0.7277486910994765,0.29319371727748694,0.43455497382198954,0.5858895705521472,0.0008521555036470946,0.0030998088936726106,0.027845924962017297,0.0035653694103175617,0.002210520801668334,
26,26,client,137.94507187839824,34.85597674728397,54.71787589351873,2,2.0,大鳥居_3,1,2.355558389728618e-05,74.0,100.0,0.9109947643979058,0.387434554973822,0.5235602094240838,0.6201298701298701,0.0017615103971716842,0.003910927177292557,0.04024802140137275,0.004349188203399582,0.0030317949828411505,
27,27,client,137.92770049067283,34.87839261762617,174.77263740354834,2,1.0,葛布_1,1,1.7395584038723544e-06,16.0,85.0,0.5287958115183247,0.08376963350785341,0.44502617801047123,0.5218579234972678,0.00046221527714664356,0.0014050013190705314,0.004028941034623652,0.0034514671738773007,0.00047497419612049747,
28,28,client,137.9222992517113,34.898388299219,451.0947501031643,2,3.0,西俣_1,1,4.4003914329363014e-07,3.0,15.0,0.09424083769633508,0.015706806282722516,0.07853403141361257,0.3036565977742448,0.0,0.0010440871907547572,1.3409848395898036e-05,0.0005280802079500705,1.2603060187139031e-05,
29,29,client,137.92685997908237,34.891680772754256,294.6695798450681,1,2.0,西俣_2,1,9.806830919261572e-07,7.0,58.0,0.3403141361256545,0.03664921465968587,0.30366492146596863,0.5093333333333333,5.042900083581148e-05,0.0010827552010984195,0.0010287584795716646,0.002216999877384495,0.0001544733490166868,
30,30,client,137.94120120023385,34.87079967173225,68.84508529038548,1,1.0,問詰（黒石）_1,1,2.384049088826473e-05,29.0,58.0,0.4554973821989529,0.15183246073298431,0.30366492146596863,0.5410764872521246,0.0007830355126305158,0.0022420957985202434,0.010396788876546383,0.002210878702119898,0.0010092397003364187,
31,31,client,137.93882153322213,34.85757316889493,71.50606376233605,2,1.0,問詰（黒石）_2,1,1.9897382960803317e-05,76.0,103.0,0.93717277486911,0.3979057591623037,0.5392670157068064,0.6241830065359477,0.0018620776515576995,0.003971697008962192,0.04123437268349935,0.0045005565818585554,0.0031311948558380587,
32,32,client,137.9522838509356,34.87218922806137,75.86197841621653,2,3.0,問詰（下問詰）_1,1,5.408411803020652e-06,24.0,83.0,0.5602094240837696,0.12565445026178013,0.43455497382198954,0.5335195530726257,0.0007103853486951361,0.0017152127474289024,0.007806728633573602,0.003390883638141597,0.0007796892620865032,
33,33,client,137.9593278625157,34.88265269062725,96.8067759714068,1,1.0,鍛冶島_1,1,1.7039183276851971e-06,15.0,74.0,0.4659685863874346,0.07853403141361257,0.387434554973822,0.5204359673024523,0.01082046995901917,0.0014243893901399944,0.0032950202259666495,0.002907511635585368,0.00035552435405049164,
34,34,client,137.94538497016225,34.85132228462618,69.89069095074596,2,2.0,城下（城下上）_1,1,2.153963801237134e-05,97.0,113.0,1.099476439790576,0.5078534031413613,0.5916230366492147,0.6701754385964912,0.0025197653709014504,0.004875139348882327,0.056897919410473154,0.005053408634147978,0.004185210141893254,
35,35,client,137.93666319953647,34.85057707900391,104.99966727044183,1,1.0,城下（城下上）_2,1,2.899301809099978e-05,109.0,113.0,1.162303664921466,0.5706806282722513,0.5916230366492147,0.6996336996336996,0.0007504848200139358,0.005333211129731546,0.06671475747363917,0.0051445535301432,0.004853613010620953,
36,36,client,137.94733837414975,34.84804777248784,218.62019459833013,2,1.0,城下（城下上）_3,1,5.760977027853206e-06,54.0,121.0,0.9162303664921466,0.28272251308900526,0.6335078534031414,0.5823170731707317,0.0002955373349876283,0.002971993772345633,0.02901776059342403,0.00554340083530889,0.0022268144373594483,
37,37,client,137.9381618507887,34.84875715763712,49.6948256151443,1,2.0,城下（城下下）_1,1,3.118653849778271e-05,109.0,116.0,1.1780104712041886,0.5706806282722513,0.6073298429319373,0.6996336996336996,0.000778120964926945,0.005334241209601733,0.06671475747363917,0.005294473031928898,0.004852420254292509,
38,38,client,137.93850299792993,34.84765285073858,49.514438552763025,2,2.0,城下（城下下）_2,1,3.462741802042705e-05,114.0,117.0,1.2094240837696335,0.5968586387434556,0.612565445026178,0.7126865671641791,0.0008844408807910127,0.005494445815113611,0.06964228409294859,0.005343390220840883,0.005107154414630652,
39,39,client,137.93559662292037,34.843276070630175,47.82656111469814,2,3.0,天宮（赤松）_1,1,4.817685109032152e-05,121.0,117.0,1.2460732984293195,0.6335078534031414,0.612565445026178,0.7318007662835249,0.0007919858359905614,0.005691461493404547,0.07319910342898782,0.005382021345102314,0.005456919998962717,
40,40,client,137.93404049906988,34.84293107101287,61.85992039945778,2,3.0,天宮（川向）_1,1,5.56300622033927e-05,122.0,117.0,1.2513089005235603,0.6387434554973822,0.612565445026178,0.7346153846153847,0.0008167553057254555,0.005738856368912877,0.07397410543575071,0.005381679609898792,0.005504640206341992,
41,41,client,137.93349660959095,34.84000166120748,44.96181338097965,1,5.0,天宮（本丁）_1,1,6.665704389802098e-05,139.0,119.0,1.350785340314136,0.7277486910994765,0.6230366492146597,0.7860082304526749,0.0010326534241650027,0.00627476116495983,0.08287860689002917,0.005503073940323165,0.006291061442100868,
42,42,client,137.93107120456708,34.84074288192975,44.97728046261038,1,1.0,天宮（開運町）_1,1,7.399138247534721e-05,133.0,115.0,1.2984293193717278,0.6963350785340314,0.6020942408376964,0.7670682730923695,0.0008042708193502501,0.006108225350014187,0.08025754273066775,0.0053240208693175846,0.0060229789044994875,
43,43,client,137.93053313041753,34.84077178935157,45.003058602965034,1,3.0,天宮（開運町）_2,1,7.391067390790512e-05,133.0,115.0,1.2984293193717278,0.6963350785340314,0.6020942408376964,0.7670682730923695,0.0008042708193502501,0.006108225350014187,0.08025754273066775,0.0053240208693175846,0.0060229789044994875,
44,44,client,137.93076091343616,34.84143569599957,45.42093816223059,2,4.0,天宮（開運町）_3,1,6.945449302257507e-05,126.0,115.0,1.261780104712042,0.6596858638743456,0.6020942408376964,0.74609375,0.0006708138438366363,0.005868836579183498,0.07624524532095521,0.005326366122676429,0.005695485642208169,
45,45,client,137.92883928840908,34.8426687844917,61.369276513910634,2,2.0,天宮（開運町）_4,1,5.526796715037098e-05,121.0,112.0,1.2198952879581153,0.6335078534031414,0.5863874345549739,0.7318007662835249,0.0005549312887372766,0.005689629338814869,0.07319910342898782,0.005179332693350503,0.005458532585512173,
46,46,client,137.93290878817078,34.84266118672836,51.00922329554909,1,1.0,天宮（川久保）_1,1,5.990857983838608e-05,121.0,112.0,1.2198952879581153,0.6335078534031414,0.5863874345549739,0.7318007662835249,0.0005549312887372766,0.005689629338814869,0.07319910342898782,0.005179332693350503,0.005458532585512174,
47,47,client,137.9322335599845,34.842009665127485,47.4668258424072,1,1.0,天宮（川久保）_2,1,6.796913910610616e-05,122.0,115.0,1.2408376963350787,0.6387434554973822,0.6020942408376964,0.7346153846153847,0.0006006025276897806,0.005738136540051101,0.07397410543575071,0.005327729736258141,0.005505069430375137,
48,48,client,137.92804028565595,34.84668531568243,56.09296874056499,1,5.0,天宮（川久保）_3,1,4.452781605294564e-05,117.0,111.0,1.1937172774869111,0.612565445026178,0.581151832460733,0.720754716981132,0.0004991363627324447,0.005545647544269119,0.07052745211772028,0.005128856206449642,0.005256672272523321,
49,49,client,137.93180316448488,34.844807337425806,49.38212338012874,1,3.0,天宮（川久保）_4,1,5.639601840564182e-05,120.0,111.0,1.2094240837696335,0.6282722513089005,0.581151832460733,0.7290076335877863,0.0005341639897270214,0.005656956719445046,0.0725885870785482,0.00512777205971736,0.00540806348525481,
50,50,client,137.92895319035048,34.843635822736815,55.58203316481721,1,3.0,天宮（川久保）_5,1,5.526796715038529e-05,121.0,112.0,1.2198952879581153,0.6335078534031414,0.5863874345549739,0.7318007662835249,0.0005549312887372766,0.005689629338814869,0.07319910342898782,0.005179332693350503,0.005458532585512174,
51,51,client,137.93303109658888,34.85422789603914,150.34400489116433,2,5.0,天宮（大上）_1,1,1.5478358902711563e-05,83.0,109.0,1.005235602094241,0.43455497382198954,0.5706806282722513,0.6387959866220736,0.0013519390815377682,0.004252386943018308,0.04574969765615221,0.004817384065356692,0.0034754343571853853,
52,52,client,137.93020126275837,34.839220592648125,43.72144426669402,2,5.0,天宮（明治町）_1,1,8.278803694579048e-05,135.0,116.0,1.3141361256544504,0.7068062827225131,0.6073298429319373,0.7732793522267206,0.0008663414080160549,0.006163981963520098,0.08114846737959089,0.005370095074450385,0.006113075326434402,
53,53,client,137.9288308264736,34.83959145417262,71.77438499700327,2,3.0,森（明治町）_1,1,7.414618916835175e-05,132.0,115.0,1.293193717277487,0.6910994764397906,0.6020942408376964,0.764,0.0006885083003553135,0.005976234408199033,0.07947387324129718,0.005357956512376027,0.006005856218153409,
54,54,client,137.9324608146298,34.83740568943981,40.240233972261144,1,1.0,森（新町）_1,1,7.128571059185698e-05,140.0,120.0,1.361256544502618,0.7329842931937173,0.6282722513089005,0.7892561983471075,0.0010887758959133356,0.006308399622639776,0.08342128664440912,0.0055457901240427475,0.0063349795539100395,
55,55,client,137.93150950230378,34.83922428448648,43.331876788013226,1,1.0,森（新町）_2,1,7.698113228656912e-05,138.0,116.0,1.329842931937173,0.7225130890052357,0.6073298429319373,0.7827868852459017,0.000941580582952896,0.006244777590130794,0.08242060313812213,0.0053691308408572325,0.006247721761900203,
56,56,client,137.93027978096157,34.83777570459424,42.7434766444283,2,3.0,森（仲横町）_1,1,8.71894368093375e-05,140.0,117.0,1.3455497382198953,0.7329842931937173,0.612565445026178,0.7892561983471075,0.000928671191481874,0.006307262085512413,0.08342128664440912,0.005445497279083646,0.006335777481625232,
57,57,client,137.93062390874132,34.8381820290839,42.581887802195155,2,2.0,森（仲横町）_2,1,8.557935890811386e-05,140.0,115.0,1.3350785340314137,0.7329842931937173,0.6020942408376964,0.7892561983471075,0.0008870147678331588,0.006306470997254936,0.08342128664440912,0.005355588749052171,0.006336492791954433,
58,58,client,137.92862686167507,34.83441388942521,42.437737673779566,1,1.0,森（本町）_1,1,8.638320763133638e-05,147.0,122.0,1.4083769633507854,0.7696335078534032,0.6387434554973822,0.8127659574468085,0.0011934144111836107,0.006437613832062918,0.0869171416581859,0.005681305348586278,0.0066849564668307335,
